"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RCN31",2.45319696488064e-05,0.565956663110685,0.172,0.113,0.521009971401351,6,"RCN3"
"SERINC31",0.00185728696353346,0.564106476127955,0.339,0.296,1,6,"SERINC3"
"NEU11",0.00184092437441016,0.564061052145267,0.305,0.259,1,6,"NEU1"
"MFSD101",6.00774647175065e-05,0.563265841173039,0.393,0.331,1,6,"MFSD10"
"FAM122B1",5.98946778284848e-09,0.563162854510459,0.237,0.145,0.000127204316772136,6,"FAM122B"
"TRAF41",0.00024926803357579,0.56263680790853,0.246,0.189,1,6,"TRAF4"
"SAMD121",9.32537031133893e-09,0.56251568886171,0.147,0.073,0.000198052214672216,6,"SAMD12"
"MLEC1",0.00109430322303719,0.561746620872635,0.39,0.341,1,6,"MLEC"
"TNFAIP21",0.00572107751244632,0.561620791198786,0.169,0.131,1,6,"TNFAIP2"
"AFAP1-AS11",0.000776180764368598,0.561594675481023,0.133,0.09,1,6,"AFAP1-AS1"
"SPTAN1",0.000402926917878052,0.561332698814219,0.39,0.338,1,6,"SPTAN1"
"ZRANB2",0.00179634221110015,0.561322739070438,0.274,0.229,1,6,"ZRANB2"
"ONECUT21",5.59013405462747e-08,0.560763886697146,0.158,0.085,0.00118723267052178,6,"ONECUT2"
"ALDOA2",1.95255603519577e-05,0.560264089882358,0.749,0.743,0.414683850754879,6,"ALDOA"
"IFIH11",0.00231764933378405,0.560018583306068,0.184,0.139,1,6,"IFIH1"
"DSTN1",0.0035611240187798,0.559514066989869,0.421,0.37,1,6,"DSTN"
"RNF391",0.00014528361266632,0.559165234840214,0.133,0.083,1,6,"RNF39"
"NUFIP21",0.00155354038429771,0.558184748903181,0.251,0.208,1,6,"NUFIP2"
"VEZT1",0.0004260815830605,0.557131330540321,0.218,0.165,1,6,"VEZT"
"DSC21",2.7288847873702e-07,0.556963567971596,0.186,0.113,0.00579560551141682,6,"DSC2"
"GBP31",0.00167799602852933,0.556824546367261,0.218,0.17,1,6,"GBP3"
"CFLAR1",0.00347710784252114,0.556067145308101,0.342,0.304,1,6,"CFLAR"
"AFF4",0.000921694507749801,0.555997389514616,0.356,0.312,1,6,"AFF4"
"RNF1491",0.00689275393737929,0.555893513417109,0.384,0.371,1,6,"RNF149"
"SNX13",0.000227756520160964,0.555210461632364,0.181,0.126,1,6,"SNX13"
