,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SGCE,3.26352626400005E-57,0.360469235294749,0.204,0.017,7.00972806244571E-53,15,SGCE
C17orf89,5.83900258836414E-11,0.360199386951072,0.444,0.214,1.25415936595473E-06,15,C17orf89
NCOA7,1.25572049126433E-11,0.359279825312806,0.366,0.153,2.69716204318665E-07,15,NCOA7
NUDT31,4.39306804024852E-14,0.359216180485046,0.387,0.155,9.43587084364979E-10,15,NUDT3
MT-ND44,9.53872040872549E-06,0.358747432345272,0.915,0.938,0.204882175659015,15,MT-ND4
RAP1GAP,3.30065874302947E-58,0.358719769480354,0.225,0.021,7.08948491415299E-54,15,RAP1GAP
PLPP53,4.38474607502581E-10,0.358558634144676,0.38,0.178,9.41799609454793E-06,15,PLPP5
DNAJC3,6.74863570595632E-10,0.35841046753029,0.472,0.243,1.44953946328236E-05,15,DNAJC3
SEPT21,2.7854305186135E-05,0.35791230448609,0.549,0.369,0.598282621092994,15,SEPT2
GNPNAT11,4.54017776165016E-08,0.357789831577376,0.218,0.09,0.000975184781424839,15,GNPNAT1
CHST4,1.51859435792307E-62,0.357433257569713,0.19,0.014,3.26178882138295E-58,15,CHST4
RANBP13,5.18734934237096E-05,0.357041384314159,0.493,0.326,1,15,RANBP1
BCKDK2,0.00150926917165203,0.357033372855013,0.261,0.161,1,15,BCKDK
UQCRHL,6.09167787904304E-08,0.356943326562384,0.317,0.155,0.00130843149163965,15,UQCRHL
ECI2,7.25891317101023E-15,0.356901126283219,0.317,0.11,1.55914196000129E-10,15,ECI2
MUC203,5.8058830712802E-10,0.356594503743583,0.289,0.119,1.24704562488027E-05,15,MUC20
SNRPE2,3.88315475779179E-06,0.35611744783606,0.542,0.344,0.0834062810426098,15,SNRPE
GRB14,1.53933918050076E-81,0.355324506800185,0.176,0.009,3.30634662579758E-77,15,GRB14
FARP11,6.94770359006396E-20,0.354903089641912,0.303,0.085,1.49229725410984E-15,15,FARP1
SCP22,2.13519279766141E-06,0.354832155561551,0.599,0.378,0.0458618061009695,15,SCP2
DOK5,2.02494549137217E-82,0.354753623712691,0.148,0.006,4.34938042091829E-78,15,DOK5
VEZF1,6.83899971373198E-12,0.35452245354624,0.345,0.137,1.46894874851249E-07,15,VEZF1
TP53TG1,2.11956121899558E-07,0.354399683448216,0.317,0.158,0.00455260554228061,15,TP53TG1
ZMPSTE24,2.86805650957749E-15,0.354385397163716,0.317,0.108,6.1602985769215E-11,15,ZMPSTE24
ACTR1B,8.88300590558161E-12,0.354010630266847,0.338,0.136,1.90798083845987E-07,15,ACTR1B
SLC25A11,5.07744970172172E-07,0.353923794710376,0.408,0.221,0.0109058542143281,15,SLC25A1
SMARCA1,5.78865438163118E-31,0.353355670146315,0.197,0.029,1.24334507463056E-26,15,SMARCA1
ADAM284,0.000500184453308817,0.353291040021667,0.317,0.203,1,15,ADAM28
ANAPC13,8.82152179473743E-07,0.35326270571488,0.366,0.2,0.0189477466629165,15,ANAPC13
COLCA12,0.000128405405949925,0.352287541222591,0.134,0.059,1,15,COLCA1
TCEAL8,6.42529083258751E-12,0.352031471740943,0.352,0.147,1.38008821793147E-07,15,TCEAL8
PTGR13,9.96811748291608E-10,0.352015430028985,0.324,0.147,2.14105195415554E-05,15,PTGR1
TXNL11,1.16127253160658E-08,0.351957482042091,0.5,0.278,0.000249429727063778,15,TXNL1
MYO1D,2.80477752323996E-07,0.351859459180937,0.225,0.099,0.00602438164216712,15,MYO1D
CANT1,9.75070570398464E-07,0.351855751539459,0.254,0.121,0.0209435407815886,15,CANT1
TMED1,3.37542987260302E-09,0.35163997111135,0.282,0.118,7.25008582336404E-05,15,TMED1
GUCY1B3,7.7127591905358E-42,0.35157607810707,0.155,0.014,1.65662354653519E-37,15,GUCY1B3
FN3K1,1.6411003436612E-09,0.35156171920096,0.261,0.107,3.52491942814989E-05,15,FN3K
NDUFS62,2.53139596487278E-06,0.35129702204131,0.613,0.397,0.0543718539295024,15,NDUFS6
BARX2,1.02263276315147E-21,0.350223186839902,0.155,0.025,2.19651291197304E-17,15,BARX2
TCP1,2.28321025068714E-09,0.349904805078735,0.458,0.236,4.90410729745091E-05,15,TCP1
SPR2,1.52184672452411E-11,0.349900638715524,0.303,0.121,3.26877457960533E-07,15,SPR
PHYH,6.22445976541352E-07,0.349456850326937,0.268,0.13,0.0133695171301317,15,PHYH
NT5C4,7.0802523930332E-07,0.349377885487228,0.472,0.274,0.015207674114996,15,NT5C
CYB5R1,4.86954994409762E-08,0.349217968455149,0.289,0.134,0.00104593063249273,15,CYB5R1
FAM174A,7.54045878411184E-12,0.349136993376462,0.261,0.093,1.61961514223938E-07,15,FAM174A
PTPN13,5.98283830386378E-13,0.348995128338615,0.12,0.024,1.2850538392869E-08,15,PTPN13
DSEL,8.36161562597198E-29,0.348715815516566,0.19,0.028,1.79599142030252E-24,15,DSEL
RPN12,0.000160939118886908,0.348660388409374,0.57,0.418,1,15,RPN1
