,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CLPS1,2.69713973756808E-238,9.17794940922395,1,0.046,5.79318644232249E-234,20,CLPS
PRSS11,0,8.39318787303366,1,0.022,0,20,PRSS1
CELA3A1,0,8.12765727049998,1,0.017,0,20,CELA3A
SYCN1,0,7.79143669271456,1,0.008,0,20,SYCN
PNLIP1,0,7.76174681353024,1,0.013,0,20,PNLIP
CTRC1,0,7.2573199296947,1,0.008,0,20,CTRC
PRSS25,2.48146029557337E-108,7.23795939458412,1,0.115,5.32992856886204E-104,20,PRSS2
CTRB21,0,7.22174955902301,1,0.007,0,20,CTRB2
PLA2G1B1,0,7.12728301668342,1,0.01,0,20,PLA2G1B
CPB11,0,7.05217289248311,1,0.011,0,20,CPB1
CELA2A1,0,7.01229408628004,1,0.009,0,20,CELA2A
CPA11,0,6.9818224824662,1,0.007,0,20,CPA1
CELA3B1,0,6.96023797323608,1,0.008,0,20,CELA3B
CTRB11,0,6.86293587999093,1,0.005,0,20,CTRB1
AMY2A1,0,6.80700864254567,1,0.007,0,20,AMY2A
REG1A2,5.77722744010627E-238,6.59414614699257,1,0.045,1.24089068186043E-233,20,REG1A
CEL1,0,5.87576577757538,1,0.006,0,20,CEL
GP21,0,5.46229125864889,0.981,0.011,0,20,GP2
CPA21,0,5.40815886815393,1,0.005,0,20,CPA2
PRSS34,5.79537484487684E-94,5.26408520319957,1,0.137,1.2447885629311E-89,20,PRSS3
SPINK17,1.59926470133573E-55,5.09142112809494,1,0.276,3.43506065199902E-51,20,SPINK1
CELA2B1,0,4.81090825710712,1,0.004,0,20,CELA2B
KLK12,3.55569345315884E-201,4.58193426997152,1,0.055,7.63727396803986E-197,20,KLK1
AMY2B1,0,4.34848927293503,1,0.01,0,20,AMY2B
REG1B1,0,4.08676058746478,0.596,0.004,0,20,REG1B
CTRL1,0,3.45011872732696,0.962,0.004,0,20,CTRL
PNLIPRP11,0,3.29795280587708,0.981,0.003,0,20,PNLIPRP1
GATM3,7.36463461806319E-100,3.15587481127908,0.962,0.112,1.58184986961379E-95,20,GATM
MT1G3,5.90733737705232E-177,2.82658683381972,0.942,0.052,1.26883699521707E-172,20,MT1G
ERP271,3.75634085175905E-286,2.65040079247523,0.846,0.025,8.06824451549325E-282,20,ERP27
RNASE16,8.76892303226598E-46,2.40945301633316,1,0.281,1.88347697810041E-41,20,RNASE1
CUZD11,0,2.22623745839989,0.846,0.005,0,20,CUZD1
RARRES23,6.12141457579223E-114,2.21636211027555,0.846,0.068,1.31481863673441E-109,20,RARRES2
SEL1L2,1.31461715655494E-38,1.95747103407384,0.808,0.193,2.82366619056435E-34,20,SEL1L
PDIA23,1.9623788718937E-165,1.95243865928309,0.769,0.037,4.21499357894048E-161,20,PDIA2
NUCB23,1.00843008650733E-42,1.93269825104813,0.865,0.203,2.16600698280909E-38,20,NUCB2
GPHA21,0,1.884414042163,0.788,0.002,0,20,GPHA2
SSR46,1.17336638366473E-25,1.54467095619527,1,0.715,2.52027365547348E-21,20,SSR4
ALB1,0,1.53772162177566,0.673,0.004,0,20,ALB
RBPJL,0,1.49649894803379,0.538,0.002,0,20,RBPJL
SERPINI2,0,1.40964508507547,0.5,0.001,0,20,SERPINI2
TEX11,0,1.3661310087621,0.519,0.002,0,20,TEX11
PRDX46,7.48771798340182E-27,1.31758657410636,0.904,0.304,1.60828694565488E-22,20,PRDX4
MT1E4,1.70505752590869E-25,1.26901015241234,0.596,0.125,3.66229305989927E-21,20,MT1E
TMEM972,9.02222619747606E-38,1.23196619026947,0.558,0.084,1.93788396495588E-33,20,TMEM97
AQP8,0,1.22696639091809,0.481,0.001,0,20,AQP8
CD249,1.51896987614577E-29,1.20450754195863,0.885,0.226,3.2625953969735E-25,20,CD24
IGFBP25,4.32005399230089E-28,1.19734933126192,0.596,0.113,9.27904397006308E-24,20,IGFBP2
FKBP113,3.96982873385479E-28,1.18601931607749,0.673,0.149,8.5267951374467E-24,20,FKBP11
P4HB6,2.05509482948217E-17,1.15926986499174,0.942,0.522,4.41413818424475E-13,20,P4HB
MTRNR2L11,1.55942235946798E-87,1.14006360210997,0.5,0.028,3.34948328590127E-83,20,MTRNR2L1
SEC11C3,6.86965817754847E-21,1.10666983657715,0.769,0.264,1.47553387995564E-16,20,SEC11C
MROH11,3.24865940497814E-29,1.086256764294,0.538,0.096,6.97779553595255E-25,20,MROH1
CLPSL1,0,1.06700894190682,0.423,0.004,0,20,CLPSL1
MT1H1,4.12191755798271E-200,1.05900696923029,0.5,0.011,8.85346672279106E-196,20,MT1H
BACE12,2.10090763790502E-99,1.05669853029395,0.5,0.025,4.51253951545619E-95,20,BACE1
PDIA46,8.47048948972671E-17,1.051114539104,0.808,0.321,1.8193764374984E-12,20,PDIA4
HYOU12,4.48741338960792E-24,0.991822779019926,0.635,0.153,9.63851521953885E-20,20,HYOU1
HERPUD15,1.21050619831818E-15,0.94913325503207,0.885,0.409,2.60004626336762E-11,20,HERPUD1
MT1F3,2.04695142145548E-15,0.939012941802811,0.558,0.168,4.39664695814423E-11,20,MT1F
HSP90B14,2.33865913358652E-12,0.923491794236441,0.885,0.548,5.0232059530305E-08,20,HSP90B1
GSTA21,4.03698013577416E-245,0.913762089022179,0.385,0.005,8.67102963362933E-241,20,GSTA2
MT1X2,5.06747167786752E-22,0.893351004527969,0.827,0.261,1.08844224168916E-17,20,MT1X
TPST22,6.51409789669452E-20,0.840334939087219,0.654,0.174,1.39916308723102E-15,20,TPST2
GOLGA8B1,7.60855771593822E-20,0.837341535802857,0.442,0.086,1.63424211180637E-15,20,GOLGA8B
ERO1B2,5.69950616956625E-18,0.791493948500465,0.327,0.054,1.22419693016114E-13,20,ERO1B
ATHL12,3.52994675265185E-15,0.790055604822997,0.442,0.107,7.58197263002091E-11,20,ATHL1
COX7A12,3.07424722076231E-108,0.789587586237688,0.288,0.007,6.60317560547537E-104,20,COX7A1
LGALS24,2.49727287527479E-45,0.786040553248094,0.577,0.065,5.36389240880272E-41,20,LGALS2
MT-ND39,9.16826286737212E-08,0.748073790868242,0.981,0.93,0.00196925118128286,20,MT-ND3
GAMT2,7.69061942909802E-46,0.718909242714963,0.423,0.038,1.65186814717596E-41,20,GAMT
RAMP16,1.39511747830967E-12,0.713291538218186,0.538,0.169,2.99657283166134E-08,20,RAMP1
CTC-479C5.12,8.98350464079543E-114,0.712320706596988,0.327,0.009,1.92956696179645E-109,20,CTC-479C5.12
BNIP33,1.2296044017456E-19,0.705631179258877,0.519,0.109,2.64106729450937E-15,20,BNIP3
RP11-462G2.12,5.37290651463916E-27,0.690120465617265,0.346,0.042,1.15404659027935E-22,20,RP11-462G2.1
MT1M3,2.83993099399764E-59,0.685879114251483,0.404,0.027,6.09988778200752E-55,20,MT1M
FAM46C1,1.04501906446566E-16,0.655096284126938,0.327,0.057,2.24459644856578E-12,20,FAM46C
SELM3,2.27013323544446E-07,0.604007513663273,0.538,0.235,0.00487601917641115,20,SELM
INSIG12,3.33585507255532E-15,0.597584796081885,0.538,0.145,7.16508311034157E-11,20,INSIG1
FAM3B7,6.63235675210894E-11,0.597082905231426,0.5,0.169,1.42456390678548E-06,20,FAM3B
MEG31,2.10772875925731E-145,0.59662783524236,0.231,0.003,4.52719060200877E-141,20,MEG3
EIF4EBP13,3.41399819312548E-09,0.562606932515657,0.615,0.255,7.33292671901422E-05,20,EIF4EBP1
TCEA34,3.03101218377445E-08,0.549181548309635,0.365,0.12,0.000651031106952914,20,TCEA3
MTUS2,5.4302172513707E-222,0.543224983773548,0.212,0.001,1.16635636342191E-217,20,MTUS2
GCAT,2.29843882103114E-24,0.540949254354097,0.288,0.034,4.93681674369278E-20,20,GCAT
CYB5A6,1.04700900701051E-07,0.539974648209926,0.615,0.292,0.00224887064615788,20,CYB5A
PSAT1,3.2015631068413E-27,0.534557093449004,0.25,0.023,6.87663739718443E-23,20,PSAT1
ANPEP4,3.7891106123843E-24,0.52502028060227,0.423,0.066,8.13863068434024E-20,20,ANPEP
MT-ND28,5.8679162699742E-06,0.509796721954252,0.962,0.912,0.126036973562776,20,MT-ND2
BCAT12,9.25597231748775E-14,0.50880196500066,0.327,0.068,1.98809029407319E-09,20,BCAT1
TMED24,6.91194837939139E-06,0.507131326348506,0.673,0.371,0.148461739240948,20,TMED2
CH507-513H4.3,3.34661995787226E-42,0.501074831284703,0.115,0.003,7.18820500751382E-38,20,CH507-513H4.3
SNHG183,1.61444636900656E-27,0.500070375796616,0.308,0.033,3.46766935598919E-23,20,SNHG18
SELK2,1.6321587813678E-07,0.497928723708297,0.75,0.408,0.0035057138464999,20,SELK
P2RX11,1.55519304537653E-37,0.494337962806509,0.231,0.014,3.34039914216425E-33,20,P2RX1
LARP1B1,3.79391832250471E-08,0.484824879500373,0.231,0.057,0.000814895716490786,20,LARP1B
CXCL121,3.63357249000702E-68,0.475637452575946,0.231,0.007,7.80455035128607E-64,20,CXCL12
TRIP112,0.000192750068678795,0.462304741738749,0.288,0.126,1,20,TRIP11
MAT1A,0,0.458248895935932,0.212,0.001,0,20,MAT1A
PHGDH2,2.73060539738879E-09,0.456913348800549,0.192,0.037,5.86506733305139E-05,20,PHGDH
MT-ND47,8.38490346757267E-05,0.45607496227386,0.962,0.938,1,20,MT-ND4
HTT1,9.9458591945506E-08,0.450943489016753,0.327,0.104,0.00213627109639752,20,HTT
NHSL21,1.39249514093487E-13,0.447981880509986,0.25,0.041,2.990940313214E-09,20,NHSL2
DMD1,2.6825437477377E-16,0.446428172444632,0.192,0.022,5.7618357157658E-12,20,DMD
NBEAL12,5.43220559160875E-08,0.445979655019154,0.75,0.402,0.00116678343902164,20,NBEAL1
MAN1A21,6.90675940773124E-06,0.442605040020789,0.423,0.186,0.148350285318659,20,MAN1A2
PLA2G12A1,0.000112147237934706,0.434389841462789,0.25,0.099,1,20,PLA2G12A
PAIP2B,2.08411403480238E-30,0.427758048420587,0.231,0.017,4.47646853535204E-26,20,PAIP2B
COA34,5.98341121286222E-05,0.426786770396368,0.519,0.274,1,20,COA3
SSFA26,0.00130936375276858,0.424622888255553,0.385,0.215,1,20,SSFA2
AMY1B,2.2726557557541E-196,0.423316497457421,0.154,0.001,4.88143729778423E-192,20,AMY1B
SLC39A51,1.24952198734283E-35,0.417549154095502,0.192,0.01,2.68384827661366E-31,20,SLC39A5
FAM174B1,6.76442904674882E-05,0.417527571142823,0.173,0.052,1,20,FAM174B
TMED105,0.000385663717155034,0.416017460517285,0.692,0.453,1,20,TMED10
RBP12,8.71588126707982E-19,0.415879686323584,0.308,0.046,1.87208413735607E-14,20,RBP1
AMY1A,2.5796105235472E-287,0.414411191338834,0.192,0.001,5.54074544352702E-283,20,AMY1A
FGL1,1.56770412995998E-118,0.414007826355553,0.135,0.001,3.36727170074103E-114,20,FGL1
IFT201,4.06205084911394E-05,0.407861466336163,0.346,0.151,0.872487901881184,20,IFT20
PLPP55,8.43206835056392E-06,0.402982226428655,0.404,0.18,0.181112396101762,20,PLPP5
SRP19,1.88974046355229E-11,0.402227441784981,0.212,0.036,4.05897354166397E-07,20,SRP19
CYB5611,0.000252041316548194,0.388065415466464,0.25,0.103,1,20,CYB561
MCFD23,0.000752082372378683,0.387625505997506,0.385,0.208,1,20,MCFD2
BOP11,0.00201779941832892,0.385431702423318,0.231,0.105,1,20,BOP1
F8,9.57588954057978E-25,0.384819396401408,0.212,0.018,2.05680531442113E-20,20,F8
RP1-60O19.11,9.01319172138551E-36,0.370570010116701,0.192,0.01,1.93594344983639E-31,20,RP1-60O19.1
SLC43A1,1.85485543091382E-22,0.369384073810922,0.269,0.031,3.98404398005979E-18,20,SLC43A1
GPT2,4.76642591876544E-11,0.367738691326966,0.192,0.032,1.02378062309163E-06,20,GPT2
SLC16A12,4.99482196648548E-251,0.364772036431488,0.135,0,1.07283781018142E-246,20,SLC16A12
DHRS12,7.40731560616117E-07,0.361889530283634,0.192,0.048,0.0159101731904736,20,DHRS12
CDR1-AS,3.0900953493598E-196,0.360526016477636,0.154,0.001,6.63721580088991E-192,20,CDR1-AS
DPEP11,9.51329204122595E-164,0.357131869907937,0.231,0.003,2.04335999753492E-159,20,DPEP1
AZGP15,1.82416990681029E-08,0.352471476310578,0.423,0.144,0.000391813454283782,20,AZGP1
MT-ND16,0.00118310204699928,0.349608744405471,0.981,0.935,1,20,MT-ND1
CFTR2,1.72198098408052E-07,0.344684847128761,0.135,0.024,0.00369864295570654,20,CFTR
CLDN103,9.09694034084005E-12,0.340036237245652,0.327,0.072,1.95393181580903E-07,20,CLDN10
NRG4,1.0670922363332E-16,0.33836152050211,0.154,0.014,2.29200741442007E-12,20,NRG4
AOX11,1.04219491076741E-116,0.337762693661712,0.192,0.003,2.23853044883733E-112,20,AOX1
TMEM52,3.84852163774451E-33,0.33766020259282,0.192,0.011,8.26623962571144E-29,20,TMEM52
ABAT,9.07576436479328E-12,0.33691508167609,0.192,0.03,1.94938342791395E-07,20,ABAT
ALDH1L2,9.72079078606575E-51,0.331431114541719,0.135,0.003,2.08792865293906E-46,20,ALDH1L2
ENKD1,1.54451096139083E-14,0.325151613520676,0.212,0.03,3.31745509397135E-10,20,ENKD1
GOLGA8N,7.69290234226852E-23,0.321118731284902,0.135,0.008,1.65235849409585E-18,20,GOLGA8N
MANF3,0.000969199265152593,0.310417098495882,0.423,0.233,1,20,MANF
CMTM82,8.99385836755229E-05,0.309593683672255,0.308,0.13,1,20,CMTM8
ALDH18A1,0.00769152218285025,0.308407447587234,0.192,0.091,1,20,ALDH18A1
SLC38A53,0.000667429689398968,0.303883024676474,0.269,0.119,1,20,SLC38A5
SLC39A142,1.42446050210845E-06,0.29939273837012,0.212,0.058,0.0305959871247875,20,SLC39A14
SLC39A81,7.71867075968164E-08,0.294483641092048,0.231,0.057,0.00165789329247202,20,SLC39A8
RWDD17,0.000475060444917116,0.287839998240199,0.577,0.336,1,20,RWDD1
IMPA25,0.00059448376496762,0.287381739315041,0.288,0.131,1,20,IMPA2
LINC01624,8.31139407681797E-141,0.28732581824815,0.135,0.001,1.78520433375973E-136,20,LINC01624
GIPC22,5.97437145602664E-07,0.281102719393718,0.173,0.039,0.0128323524503996,20,GIPC2
TRAM11,0.000247944821448353,0.279373692678473,0.635,0.368,1,20,TRAM1
EI246,0.00785731555431757,0.277916752535822,0.385,0.239,1,20,EI24
PDCD44,0.00482774535323907,0.275584651077219,0.385,0.22,1,20,PDCD4
AC131097.4,3.71243591334563E-166,0.275211385098346,0.115,0,7.97394109827508E-162,20,AC131097.4
HEXDC,3.17118781473679E-06,0.271020535256537,0.192,0.05,0.0681139430727315,20,HEXDC
ENPP1,8.9790616782304E-20,0.270503271188888,0.135,0.009,1.92861265786711E-15,20,ENPP1
SLC25A22,8.51357315248013E-07,0.269646093751456,0.173,0.039,0.0182863037742121,20,SLC25A22
PACSIN22,0.000254658347478235,0.268651603015093,0.327,0.148,1,20,PACSIN2
HOMER22,4.55587113578102E-05,0.268629044499551,0.135,0.033,0.978555561254406,20,HOMER2
PBX14,4.69198016633393E-06,0.268360216665271,0.269,0.089,0.100779041992686,20,PBX1
CRELD21,0.00393702559369624,0.268022474841604,0.308,0.164,1,20,CRELD2
PTF1A,5.3028669794924E-251,0.267514523574149,0.135,0,1.13900279852517E-246,20,PTF1A
INSR2,0.00696268648732194,0.267121682253855,0.192,0.089,1,20,INSR
NR5A23,2.47786770530836E-19,0.263587102437014,0.173,0.015,5.32221204423183E-15,20,NR5A2
DBH-AS1,3.79902942216697E-166,0.262818377636394,0.115,0,8.15993529587244E-162,20,DBH-AS1
DERL32,1.32795365595292E-12,0.260394752381778,0.192,0.028,2.85231165762128E-08,20,DERL3
ALDH1A15,3.45088995201615E-05,0.2580816815733,0.346,0.142,0.74121665279355,20,ALDH1A1
GRB101,1.99306252555549E-07,0.256357806957336,0.173,0.037,0.00428089899864063,20,GRB10
AF131216.5,4.49639969686018E-188,0.254450197988285,0.135,0,9.65781690888599E-184,20,AF131216.5
EPHX17,0.005507730295821,0.25114808775557,0.288,0.153,1,20,EPHX1
CLUH,0.00997981654408746,0.251129641900152,0.135,0.055,1,20,CLUH
RBP2,0,6.67315170425332,0.946,0.007,0,19,RBP2
FABP1,0,6.52798755548767,0.946,0.008,0,19,FABP1
PHGR12,1.09844764191709E-143,5.70105914922058,0.929,0.074,2.35935569007372E-139,19,PHGR1
ALDOB,0,5.34519829222899,0.875,0.018,0,19,ALDOB
APOA1,0,5.29925854242543,0.643,0.011,0,19,APOA1
APOA4,0,5.19175988002061,0.661,0.006,0,19,APOA4
ANPEP3,2.46710297262531E-158,4.90293972545177,0.911,0.064,5.2990904749019E-154,19,ANPEP
PIGR3,2.5575477713259E-139,4.88823017868308,0.893,0.07,5.49335685803089E-135,19,PIGR
PRAP1,2.39848428534341E-235,4.85908316885629,0.821,0.032,5.1517043964891E-231,19,PRAP1
APOC3,0,4.23856232880633,0.554,0.003,0,19,APOC3
FABP21,0,4.06271787285372,0.786,0.009,0,19,FABP2
SMIM24,1.82454141579135E-250,3.77006008972612,0.804,0.028,3.91893250697824E-246,19,SMIM24
GSTA11,0,3.65245151593128,0.804,0.007,0,19,GSTA1
CDHR52,3.10312630530289E-198,3.48604891829334,0.839,0.04,6.66520499116009E-194,19,CDHR5
KRT20,0,3.27278411654913,0.714,0.004,0,19,KRT20
ADIRF7,5.93479053451188E-43,3.22243373965089,0.804,0.195,1.27473365890781E-38,19,ADIRF
TMPRSS15,0,3.21147540033574,0.679,0.002,0,19,TMPRSS15
CES23,1.60952098885192E-56,3.16345984357409,0.786,0.14,3.45709013195505E-52,19,CES2
LGALS47,6.76047071134949E-41,3.14911532970999,0.857,0.259,1.45208150409076E-36,19,LGALS4
APOB,0,3.12521314995897,0.696,0.002,0,19,APOB
AKR7A35,3.6295023787856E-64,3.08848750567561,0.786,0.119,7.79580815939358E-60,19,AKR7A3
CBR14,6.20463335462038E-42,2.93111108626867,0.857,0.248,1.33269319823891E-37,19,CBR1
MT1G2,1.4270286297437E-93,2.8416338329778,0.679,0.053,3.0651147938265E-89,19,MT1G
SLC26A3,0,2.82603373648489,0.643,0.001,0,19,SLC26A3
PCK1,0,2.79851658493868,0.732,0.004,0,19,PCK1
HSD17B24,1.01507829748915E-72,2.7317395767457,0.768,0.099,2.18028667517695E-68,19,HSD17B2
KHK,6.36725997091677E-305,2.66581443650697,0.714,0.017,1.36762376915321E-300,19,KHK
SLC5A11,1.87154663849937E-206,2.61026433033443,0.732,0.028,4.0198950248328E-202,19,SLC5A1
TM4SF55,1.00571577915582E-71,2.59416195228005,0.768,0.099,2.16017692204879E-67,19,TM4SF5
AKR1B104,1.07326380475812E-106,2.580076263781,0.732,0.057,2.30526332623996E-102,19,AKR1B10
KRT88,9.21473633817243E-30,2.53687577529587,0.857,0.363,1.97923321807606E-25,19,KRT8
SI,0,2.52727708052592,0.679,0.003,0,19,SI
PTGR15,6.33051417747006E-52,2.50536860292663,0.786,0.146,1.35973114017879E-47,19,PTGR1
PCK21,2.32603302096336E-59,2.4848869163433,0.679,0.092,4.99608632572719E-55,19,PCK2
CLDN151,1.0931500944337E-151,2.45300402118157,0.696,0.036,2.34797708783414E-147,19,CLDN15
CLDN32,2.08678609128465E-88,2.36715721432112,0.696,0.063,4.4822078454703E-84,19,CLDN3
HEBP13,6.24171735064951E-35,2.34797416598253,0.714,0.185,1.34065846974601E-30,19,HEBP1
CDHR21,2.961403760733E-131,2.34516948832719,0.714,0.044,6.3607991376784E-127,19,CDHR2
CYB5A5,2.07865042520889E-29,2.28503799477973,0.804,0.291,4.46473324830618E-25,19,CYB5A
CYP3A4,0,2.27775680271192,0.571,0.002,0,19,CYP3A4
SLC39A5,0,2.19529094945051,0.625,0.008,0,19,SLC39A5
DHRS11,7.15420119886904E-134,2.1677005998241,0.661,0.037,1.53665087550508E-129,19,DHRS11
ADA3,4.54301629995264E-80,2.15002286677616,0.696,0.069,9.75794471066827E-76,19,ADA
MTTP,0,2.12964453865524,0.589,0.001,0,19,MTTP
FOLH1,0,2.11191186477744,0.661,0.003,0,19,FOLH1
MME,0,2.1062866927506,0.625,0.003,0,19,MME
TM4SF20,0,2.09486092623083,0.607,0.011,0,19,TM4SF20
ADH1C3,1.04913090974404E-140,2.09272774714726,0.607,0.028,2.25342828103921E-136,19,ADH1C
FLJ22763,0,2.08488498055835,0.571,0.001,0,19,FLJ22763
CCL25,0,2.05976236711999,0.625,0.001,0,19,CCL25
REEP6,2.54376945062025E-68,1.96270767979422,0.643,0.068,5.46376240298723E-64,19,REEP6
AGPAT26,2.03464289453193E-18,1.96138578239256,0.696,0.284,4.37020947316512E-14,19,AGPAT2
MYO1A,0,1.94137147114586,0.696,0.015,0,19,MYO1A
EPHX21,4.04874812198327E-69,1.92251742270122,0.589,0.055,8.69630609120787E-65,19,EPHX2
CDH17,3.52819710767291E-162,1.90260500535086,0.625,0.026,7.57821456757064E-158,19,CDH17
FAM3B6,7.26362935880313E-33,1.89920555937368,0.696,0.168,1.56015494997732E-28,19,FAM3B
SEPP16,3.80854751685239E-31,1.8973201144728,0.714,0.166,8.18037921144724E-27,19,SEPP1
COX6A13,1.07051990270478E-16,1.88623315239031,0.786,0.613,2.29936969901961E-12,19,COX6A1
PEBP15,5.62937124426666E-15,1.86742706166244,0.732,0.46,1.20913264955604E-10,19,PEBP1
SAT24,1.37938918848959E-17,1.84349381618382,0.625,0.243,2.96279003795678E-13,19,SAT2
CIDEB1,6.52440821908145E-82,1.83112155840165,0.643,0.056,1.4013776413765E-77,19,CIDEB
VIL1,2.52425284251112E-116,1.82633887327036,0.643,0.039,5.42184268042964E-112,19,VIL1
MPST3,2.16897935167188E-32,1.81623449220494,0.768,0.217,4.65875074945603E-28,19,MPST
SLC25A371,2.08822532439622E-33,1.81399488215843,0.768,0.197,4.48529917427064E-29,19,SLC25A37
SLC4A72,1.62753205687348E-38,1.81304585853325,0.536,0.077,3.49577610495854E-34,19,SLC4A7
CMBL5,4.09861516268026E-29,1.79872084160597,0.643,0.153,8.80341550792094E-25,19,CMBL
MS4A8,1.50727084177785E-107,1.78699867464802,0.643,0.042,3.23746704105464E-103,19,MS4A8
GSTA2,0,1.77422046466296,0.536,0.004,0,19,GSTA2
MT-CO17,8.1877723759699E-26,1.73949975056506,0.982,0.971,1.75865162863457E-21,19,MT-CO1
RNF186,0,1.73588110329666,0.625,0.009,0,19,RNF186
ACY1,3.43637745740405E-71,1.71565331966757,0.643,0.066,7.38099514075816E-67,19,ACY1
CLDN77,3.91266935881025E-21,1.71266286167698,0.732,0.253,8.40402251578853E-17,19,CLDN7
ATP5G34,3.87662089932826E-16,1.70175279930505,0.804,0.605,8.32659402966718E-12,19,ATP5G3
CHP2,0,1.6976649831169,0.607,0.001,0,19,CHP2
MT-CO26,1.25146256454297E-24,1.69591965984934,0.982,0.963,2.68801644238184E-20,19,MT-CO2
C11orf861,8.75933982277547E-70,1.69472804738318,0.482,0.037,1.88141860053394E-65,19,C11orf86
MT-CYB6,1.23371645315335E-24,1.68711302900062,0.964,0.946,2.64989956972807E-20,19,MT-CYB
FUOM2,3.91094495508707E-44,1.68354892523488,0.661,0.109,8.40031866903151E-40,19,FUOM
AKR1C34,2.45115792671421E-44,1.68294911787429,0.679,0.11,5.26484211078946E-40,19,AKR1C3
MT1H,3.39628887819013E-69,1.67441740031752,0.286,0.012,7.29488888146457E-65,19,MT1H
SLC25A54,1.82407709379378E-15,1.67117031090068,0.786,0.586,3.91793518975967E-11,19,SLC25A5
HPGD4,5.86492185805128E-31,1.66790658459174,0.607,0.123,1.25972656589083E-26,19,HPGD
CRYL11,5.13414183032299E-30,1.65950555155451,0.625,0.147,1.10276232373508E-25,19,CRYL1
MISP5,5.06145530894774E-34,1.64871424878781,0.625,0.127,1.08714998580889E-29,19,MISP
ALPI,0,1.64285181734032,0.536,0.001,0,19,ALPI
ATPIF14,2.50536664937906E-17,1.64044758362509,0.821,0.493,5.38127702620129E-13,19,ATPIF1
GSTM41,1.9309193085888E-98,1.63577814558654,0.679,0.052,4.14742158291788E-94,19,GSTM4
AMN4,1.86125267386795E-34,1.63372616581248,0.625,0.119,3.99778461820097E-30,19,AMN
PPP1R16A5,5.2525195153725E-34,1.62906679683757,0.661,0.14,1.12818866670686E-29,19,PPP1R16A
LGALS38,1.37233525146621E-18,1.62186265137665,0.893,0.571,2.94763888662428E-14,19,LGALS3
UGT2B17,0,1.60964554963651,0.571,0.001,0,19,UGT2B17
ATP5D2,1.427342266531E-18,1.60112271519617,0.857,0.643,3.06578845428194E-14,19,ATP5D
MGAM,0,1.59739908278739,0.536,0.006,0,19,MGAM
REG1A1,1.30196519748243E-38,1.58679977009229,0.429,0.048,2.79649104767252E-34,19,REG1A
MAOA4,1.25262191972144E-43,1.58386926591235,0.625,0.098,2.69050662136969E-39,19,MAOA
SLC13A2,0,1.58380207852506,0.536,0,0,19,SLC13A2
DNPH13,3.980421081887E-21,1.57343734280499,0.75,0.279,8.54954644178509E-17,19,DNPH1
ACE,1.04993817327399E-78,1.57140552456181,0.5,0.035,2.2551622023752E-74,19,ACE
OTOP3,0,1.55268257922986,0.554,0.001,0,19,OTOP3
DGAT11,1.71925662369948E-43,1.5484159037862,0.643,0.106,3.69279130204411E-39,19,DGAT1
GDA1,7.98816994179351E-81,1.53388272306459,0.536,0.039,1.71577902179783E-76,19,GDA
PRSS33,1.07224713535021E-37,1.533772235202,0.696,0.138,2.30307962201871E-33,19,PRSS3
ALDH1A14,4.2186656195217E-35,1.52898237473109,0.696,0.141,9.06127188417065E-31,19,ALDH1A1
CISD33,9.10568485478172E-21,1.52343066247604,0.75,0.304,1.95581004995857E-16,19,CISD3
COX5B5,2.45713628809548E-13,1.51883531649397,0.786,0.69,5.27768303320028E-09,19,COX5B
HADH1,1.46959970872826E-28,1.51758771035521,0.571,0.115,3.15655321437744E-24,19,HADH
TKFC,5.80931437626572E-53,1.51578068474331,0.607,0.078,1.24778263487811E-48,19,TKFC
S100A147,1.84081531432471E-19,1.5128777008513,0.786,0.316,3.95388721363806E-15,19,S100A14
DNASE11,6.75918722359269E-66,1.51266598745768,0.589,0.058,1.45180582375547E-61,19,DNASE1
SULT1A2,7.51424455924594E-194,1.49649068589467,0.589,0.019,1.61398458888044E-189,19,SULT1A2
PCSK5,1.26136087797367E-52,1.48537708839032,0.464,0.042,2.70927702979964E-48,19,PCSK5
MYO7B,1.82797864962901E-260,1.48493509571105,0.554,0.011,3.92631534153814E-256,19,MYO7B
ACADS,1.96305461831271E-49,1.48364865124307,0.607,0.08,4.21644501467388E-45,19,ACADS
NR0B22,2.73015119293746E-117,1.48324836726014,0.571,0.029,5.86409174731036E-113,19,NR0B2
COX4I14,5.38038432530374E-20,1.48102330336092,0.911,0.853,1.15565274923199E-15,19,COX4I1
GK2,6.38984432598317E-24,1.47403130693634,0.554,0.123,1.37247466277793E-19,19,GK
CYP4F2,0,1.4711149285009,0.464,0.002,0,19,CYP4F2
GATM2,6.14761829259272E-36,1.46514508913713,0.625,0.113,1.32044693306599E-31,19,GATM
KRT187,3.6275392820658E-16,1.4599989114761,0.804,0.352,7.79159162394912E-12,19,KRT18
AKR1A13,1.48730077106196E-16,1.45883460156386,0.696,0.295,3.19457332616397E-12,19,AKR1A1
CHCHD104,8.99476506054179E-14,1.45691060525459,0.768,0.481,1.93198558735377E-09,19,CHCHD10
AADAC,2.81939110994835E-189,1.45246938414687,0.536,0.015,6.05577016505805E-185,19,AADAC
FBP12,3.49143012650557E-22,1.45101743104701,0.714,0.234,7.49924276872131E-18,19,FBP1
OAT2,7.90888161097075E-29,1.45070275681613,0.625,0.145,1.69874868122041E-24,19,OAT
SULT1A11,1.98470869678958E-54,1.4381466448249,0.643,0.083,4.26295580983435E-50,19,SULT1A1
